epoch,observed_map50,fit_at_trigger,mu_hat,phase,phase2_epoch,trigger_epoch,tau_hat_at_trigger,a_hat_at_trigger,fit_at_epoch_7,a_hat_at_epoch_7,tau_hat_at_epoch_7,fit_at_epoch_9,a_hat_at_epoch_9,tau_hat_at_epoch_9,fit_at_epoch_10,a_hat_at_epoch_10,tau_hat_at_epoch_10
57,0.96052,0.974781586772121,1.0,3,10,10,4.23978,0.974783,1.5927627753944376,1.595157,8.766981,1.1014222566861933,1.101442,5.215331,0.974781586772121,0.974783,4.23978
58,0.95867,0.974781883705108,1.0,3,10,10,4.23978,0.974783,1.5930208715144334,1.595157,8.766981,1.1014257015092996,1.101442,5.215331,0.974781883705108,0.974783,4.23978
59,0.96149,0.974782118249573,1.0,3,10,10,4.23978,0.974783,1.5932511450120228,1.595157,8.766981,1.1014285452779755,1.101442,5.215331,0.974782118249573,0.974783,4.23978
60,0.96471,0.9747823035139539,1.0,3,10,10,4.23978,0.974783,1.5934565951508814,1.595157,8.766981,1.1014308928644938,1.101442,5.215331,0.9747823035139539,0.974783,4.23978
61,0.95622,0.974782449852478,1.0,3,10,10,4.23978,0.974783,1.59363989787568,1.595157,8.766981,1.1014328308429615,1.101442,5.215331,0.974782449852478,0.974783,4.23978
62,0.94155,0.9747825654438482,1.0,3,10,10,4.23978,0.974783,1.5938034406656985,1.595157,8.766981,1.1014344306819925,1.101442,5.215331,0.9747825654438482,0.974783,4.23978
63,0.93137,0.974782656748342,1.0,3,10,10,4.23978,0.974783,1.5939493536312388,1.595157,8.766981,1.1014357513803223,1.101442,5.215331,0.974782656748342,0.974783,4.23978
64,0.93395,0.9747827288688695,1.0,3,10,10,4.23978,0.974783,1.5940795372578627,1.595157,8.766981,1.101436841642558,1.101442,5.215331,0.9747827288688695,0.974783,4.23978
65,0.94775,0.9747827858361695,1.0,3,10,10,4.23978,0.974783,1.5941956871598142,1.595157,8.766981,1.101437741675302,1.101442,5.215331,0.9747827858361695,0.974783,4.23978
66,0.94822,0.9747828308340829,1.0,3,10,10,4.23978,0.974783,1.5942993161650367,1.595157,8.766981,1.1014384846698906,1.101442,5.215331,0.9747828308340829,0.974783,4.23978
67,0.94837,0.9747828663774952,1.0,3,10,10,4.23978,0.974783,1.5943917740194389,1.595157,8.766981,1.1014390980264175,1.101442,5.215331,0.9747828663774952,0.974783,4.23978
68,0.94986,0.9747828944528891,1.0,3,10,10,4.23978,0.974783,1.5944742649670485,1.595157,8.766981,1.1014396043641959,1.101442,5.215331,0.9747828944528891,0.974783,4.23978
69,0.95174,0.9747829166293684,1.0,3,10,10,4.23978,0.974783,1.594547863435037,1.595157,8.766981,1.1014400223559095,1.101442,5.215331,0.9747829166293684,0.974783,4.23978
70,0.95274,0.9747829341463528,1.0,3,10,10,4.23978,0.974783,1.5946135280279075,1.595157,8.766981,1.1014403674162234,1.101442,5.215331,0.9747829341463528,0.974783,4.23978
71,0.95301,0.9747829479828476,1.0,3,10,10,4.23978,0.974783,1.5946721140131144,1.595157,8.766981,1.101440652270244,1.101442,5.215331,0.9747829479828476,0.974783,4.23978
72,0.95264,0.9747829589121596,1.0,3,10,10,4.23978,0.974783,1.5947243844607428,1.595157,8.766981,1.101440887422795,1.101442,5.215331,0.9747829589121596,0.974783,4.23978
73,0.9524,0.9747829675451163,1.0,3,10,10,4.23978,0.974783,1.594771020182334,1.595157,8.766981,1.101441081545813,1.101442,5.215331,0.9747829675451163,0.974783,4.23978
74,0.95419,0.9747829743642046,1.0,3,10,10,4.23978,0.974783,1.5948126285983133,1.595157,8.766981,1.1014412417981514,1.101442,5.215331,0.9747829743642046,0.974783,4.23978
75,0.95351,0.9747829797505356,1.0,3,10,10,4.23978,0.974783,1.594849751649512,1.595157,8.766981,1.101441374089583,1.101442,5.215331,0.9747829797505356,0.974783,4.23978
76,0.95581,0.974782984005146,1.0,3,10,10,4.23978,0.974783,1.5948828728558313,1.595157,8.766981,1.1014414832987405,1.101442,5.215331,0.974782984005146,0.974783,4.23978
77,0.9572,0.9747829873658211,1.0,3,10,10,4.23978,0.974783,1.5949124236139895,1.595157,8.766981,1.1014415734530305,1.101442,5.215331,0.9747829873658211,0.974783,4.23978
78,0.95808,0.9747829900203856,1.0,3,10,10,4.23978,0.974783,1.5949387888163709,1.595157,8.766981,1.1014416478771556,1.101442,5.215331,0.9747829900203856,0.974783,4.23978
79,0.95854,0.9747829921172,1.0,3,10,10,4.23978,0.974783,1.5949623118641683,1.595157,8.766981,1.1014417093157227,1.101442,5.215331,0.9747829921172,0.974783,4.23978
80,0.9603850893324035,0.9747829937734533,1.0,3,10,10,4.23978,0.974783,1.5949832991401116,1.595157,8.766981,1.1014417600344584,1.101442,5.215331,0.9747829937734533,0.974783,4.23978
